Country.Name,Abbr,Region,Property.Rights,Judical.Effectiveness,Government.Integrity,Fiscal.Health,Business.Freedom,Labor.Freedom_2015,Labor.Freedom_2016,Monetary.Freedom,Trade.Freedom,Investment.Freedom,Financial.Freedom,GDP.Growth.Rate,GDP.per.Capita.PPP,Unemployment,Inflation.Perc,FDI.Inflow.Millions,Public.Debt.Perc.of.GDP
Argentina,ARG,America,32.4,39.6,38.2,56.4,57.3,46.1,52.26,50.9,66.7,50,50,1.2,22554,6.7,26.5,11654.9,56.5
Austria,AUT,Europe,86,81.8,75.2,79.7,76.9,67.6,64.98,83.4,87,90,70,0.9,47250,5.7,0.8,3837.4,86.2
Bahamas,BHS,America,45.3,48.7,38.2,42.3,68.5,71.5,88.08,77,50.6,50,60,0.5,25167,14.4,1.9,384.9,65.7
Barbados,BRB,America,55.5,33,34.3,0,69.6,67.7,79.34,83.7,62.2,75,60,0.5,16575,12.3,0.5,254.4,103
Belarus,BLR,Europe,50.9,56.3,37.6,92.8,71.3,74.6,87.68,60.4,80.6,30,10,-3.9,17654,6.1,13.5,1583.9,59.9
Belgium,BEL,Europe,83.3,69.3,71.5,66.3,82,61.1,68.88,84.9,87,85,70,1.4,43585,8.7,0.6,31029.5,106.3
Belize,BLZ,America,43.5,48.7,35,60.5,62.7,53.6,55.87,79.6,70.1,50,50,1.5,8373,11.8,-0.6,64.6,76.3
Bolivia,BOL,America,25.7,15.4,32.6,81.4,58.9,35.8,47.14,66.4,76,5,40,4.8,6465,3.6,4.1,503.4,39.7
Brazil,BRA,America,55,49.7,33.4,22.8,61.3,52.3,55.84,67,69.4,50,50,-3.8,15615,7.2,9,64647.9,73.7
Bulgaria,BGR,Europe,62.5,38.9,41.8,86.4,66.7,68.3,61.76,83.3,87,70,60,3,19097,9.8,-1.1,1773.9,26.9
Canada,CAN,America,88.3,80.8,81.6,80.3,81.9,73.1,81.17,77.8,88.4,80,80,1.2,45553,6.9,1.1,48642.8,91.5
Chile,CHL,America,68.2,63.7,70.5,96.1,72.3,64.3,59.25,82.2,86.4,85,70,2.1,23460,6.4,4.3,20176.2,17.1
Colombia,COL,America,63.8,25.2,39.6,89.8,77.1,77.9,73.35,77,81.6,80,70,3.1,13847,10,5,12107.6,49.4
Costa Rica,CRI,America,51.6,55.6,55.4,42.4,68.1,53.9,54.52,80.8,84.7,70,50,3.7,15482,8.6,0.8,2849.6,42.4
Czech Republic,CZE,Europe,70.3,55.9,55.9,92,67.2,77.7,72.96,85.8,87,80,80,4.2,31550,5.2,0.3,1223.1,40.9
Denmark,DNK,Europe,86.7,68.5,84.9,95.4,93.9,85.8,87.48,85.5,87,90,80,1.2,45709,6.3,0.5,3641.5,45.6
Dominican Republic,DOM,America,56.1,25.3,30.9,90.1,52.8,56.2,75.8,76.7,77,75,40,7,14984,14.4,0.8,2221.5,34.3
Ecuador,ECU,America,38.7,22.3,33.9,56.4,55.4,47.3,47.26,67.7,69.7,35,40,0,11264,4.3,4,1060.1,34.5
El Salvador,SLV,America,45.3,35.4,31.7,74.7,57.3,54.5,60.77,79.2,86.5,80,60,2.4,8303,6.4,-0.7,428.7,58.9
Estonia,EST,Europe,82.6,82.8,69.9,99.8,77,56.9,55.02,85.7,87,90,80,1.1,28592,5.9,0.1,207.7,10.1
Finland,FIN,Europe,90.6,82.7,90,77.3,90.2,53.4,68.83,85.1,87,85,80,0.4,41120,9.6,-0.2,8289.6,62.4
