ID,gender,age,agecat,ed,edcat,jobcat,empcat,retire,income,inccat,debtinc,jobsat,marital,homeown,card,default
1,Female,20,18-24,15,Some college,Managerial and Professional,Less than 2,No,31,$25 - $49,11.1,Highly dissatisfied,Unmarried,Rent,Mastercard,Yes
2,Male,22,18-24,17,College degree,Sales and Office,Less than 2,No,15,Under $25,18.6,Highly dissatisfied,Unmarried,Own,Visa,Yes
3,Female,67,65+,14,High school degree,Sales and Office,More than 15,No,35,$25 - $49,9.9,Somewhat satisfied,Married,Own,Visa,No
4,Male,26,25-34,16,Some college,Sales and Office,Less than 2,No,23,Under $25,1.7,Highly dissatisfied,Married,Rent,Discover,No
5,Female,52,50-64,14,High school degree,Managerial and Professional,6 to 10,No,77,$75 - $124,1.9,Somewhat dissatisfied,Unmarried,Rent,Other,No
6,Female,44,35-49,16,Some college,Managerial and Professional,11 to 15,No,97,$75 - $124,14.4,Highly satisfied,Married,Own,American Express,No
7,Male,47,35-49,11,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,84,$75 - $124,4.1,Somewhat satisfied,Unmarried,Own,Other,No
8,Female,59,50-64,19,College degree,Managerial and Professional,6 to 10,No,47,$25 - $49,8.6,Neutral,Unmarried,Rent,Discover,No
9,Female,33,25-34,8,Did not complete high school,Sales and Office,2 to 5,No,19,Under $25,0.9,Somewhat satisfied,Married,Rent,Mastercard,No
10,Male,44,35-49,10,Did not complete high school,Managerial and Professional,11 to 15,No,73,$50 - $74,2.8,Highly satisfied,Unmarried,Own,Discover,No
11,Female,72,65+,20,Post-undergraduate degree,Agricultural and Natural Resources,More than 15,Yes,17,Under $25,9.8,Somewhat satisfied,Married,Own,Mastercard,No
12,Female,66,65+,13,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,23,Under $25,9.3,Highly satisfied,Married,Rent,Mastercard,No
13,Female,57,50-64,17,College degree,Agricultural and Natural Resources,More than 15,No,171,$125+,9.5,Highly satisfied,Married,Own,Discover,No
14,Male,63,50-64,14,High school degree,"Operation, Fabrication, General Labor",More than 15,No,424,$125+,10.7,Somewhat satisfied,Married,Own,Mastercard,No
15,Female,78,65+,16,Some college,Managerial and Professional,6 to 10,Yes,22,Under $25,15.2,Neutral,Unmarried,Rent,Visa,No
16,Male,61,50-64,16,Some college,Managerial and Professional,2 to 5,No,35,$25 - $49,10.1,Neutral,Married,Rent,American Express,No
17,Male,70,65+,17,College degree,Sales and Office,2 to 5,No,28,$25 - $49,9.3,Highly dissatisfied,Married,Rent,American Express,No
18,Male,61,50-64,14,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,12,Under $25,21.5,Highly satisfied,Unmarried,Own,American Express,Yes
19,Male,39,35-49,12,High school degree,Managerial and Professional,2 to 5,No,130,$125+,11.3,Highly satisfied,Married,Own,Discover,No
20,Female,73,65+,14,High school degree,Service,More than 15,Yes,69,$50 - $74,14.8,Neutral,Married,Rent,Visa,No
21,Female,26,25-34,16,Some college,Sales and Office,Less than 2,No,24,Under $25,11.7,Somewhat dissatisfied,Married,Rent,Discover,Yes
22,Female,77,65+,15,Some college,Managerial and Professional,More than 15,Yes,11,Under $25,10.2,Highly satisfied,Unmarried,Own,Visa,No
23,Male,36,35-49,19,College degree,Managerial and Professional,2 to 5,No,30,$25 - $49,15.5,Somewhat satisfied,Unmarried,Own,American Express,No
24,Male,55,50-64,14,High school degree,Service,More than 15,No,80,$75 - $124,6.5,Highly satisfied,Unmarried,Own,Visa,No
25,Female,60,50-64,18,College degree,Managerial and Professional,11 to 15,No,51,$50 - $74,7.8,Highly satisfied,Married,Rent,Discover,No
26,Male,28,25-34,11,Did not complete high school,Sales and Office,Less than 2,No,17,Under $25,8.2,Somewhat dissatisfied,Married,Rent,Mastercard,Yes
27,Male,36,35-49,12,High school degree,Sales and Office,2 to 5,No,45,$25 - $49,8.3,Somewhat satisfied,Unmarried,Rent,Discover,Yes
28,Male,47,35-49,20,Post-undergraduate degree,"Precision Production, Craft, Repair",More than 15,No,137,$125+,13.7,Somewhat satisfied,Married,Own,American Express,No
29,Male,75,65+,11,Did not complete high school,Sales and Office,2 to 5,Yes,10,Under $25,2.4,Somewhat dissatisfied,Unmarried,Rent,Discover,No
30,Female,49,35-49,22,Post-undergraduate degree,Managerial and Professional,2 to 5,No,73,$50 - $74,9.2,Neutral,Married,Own,Discover,No
31,Female,59,50-64,13,High school degree,Managerial and Professional,11 to 15,No,63,$50 - $74,6,Neutral,Unmarried,Rent,Discover,No
32,Female,55,50-64,12,High school degree,Service,6 to 10,No,50,$50 - $74,5.1,Somewhat dissatisfied,Married,Own,American Express,No
33,Male,47,35-49,19,College degree,Sales and Office,Less than 2,No,75,$75 - $124,2.2,Somewhat satisfied,Married,Rent,American Express,Yes
34,Male,75,65+,10,Did not complete high school,Sales and Office,11 to 15,No,28,$25 - $49,3.3,Somewhat dissatisfied,Married,Own,American Express,No
35,Female,43,35-49,19,College degree,Sales and Office,2 to 5,No,33,$25 - $49,12.6,Highly dissatisfied,Married,Own,Discover,No
36,Male,45,35-49,10,Did not complete high school,"Operation, Fabrication, General Labor",11 to 15,No,44,$25 - $49,13.6,Somewhat dissatisfied,Married,Own,Mastercard,No
37,Male,53,50-64,21,Post-undergraduate degree,Service,More than 15,No,284,$125+,9.4,Somewhat dissatisfied,Unmarried,Own,Discover,Yes
38,Female,30,25-34,13,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,49,$25 - $49,2.1,Somewhat satisfied,Unmarried,Own,Visa,No
39,Female,58,50-64,19,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,15,Under $25,7.6,Highly satisfied,Unmarried,Rent,Mastercard,No
40,Male,35,35-49,11,Did not complete high school,Managerial and Professional,2 to 5,No,17,Under $25,2.3,Somewhat dissatisfied,Married,Own,Discover,Yes
41,Female,48,35-49,14,High school degree,Managerial and Professional,11 to 15,No,83,$75 - $124,11.3,Neutral,Married,Own,Discover,No
42,Female,57,50-64,15,Some college,Managerial and Professional,6 to 10,No,82,$75 - $124,34.2,Highly satisfied,Unmarried,Own,Mastercard,Yes
43,Female,56,50-64,19,College degree,Managerial and Professional,6 to 10,No,138,$125+,7,Somewhat satisfied,Married,Rent,Discover,No
44,Female,29,25-34,17,College degree,Sales and Office,Less than 2,No,35,$25 - $49,5.7,Somewhat satisfied,Married,Rent,Mastercard,No
45,Female,46,35-49,10,Did not complete high school,Managerial and Professional,2 to 5,No,25,$25 - $49,7.7,Somewhat satisfied,Unmarried,Rent,Visa,No
46,Male,24,18-24,17,College degree,Managerial and Professional,Less than 2,No,33,$25 - $49,3.9,Highly dissatisfied,Married,Own,Discover,No
47,Female,78,65+,16,Some college,Sales and Office,More than 15,Yes,32,$25 - $49,23.1,Highly satisfied,Married,Rent,Visa,No
48,Male,73,65+,10,Did not complete high school,Managerial and Professional,More than 15,Yes,16,Under $25,3,Somewhat satisfied,Married,Rent,American Express,No
49,Female,26,25-34,20,Post-undergraduate degree,Managerial and Professional,Less than 2,No,64,$50 - $74,3.9,Somewhat satisfied,Unmarried,Rent,Discover,Yes
50,Female,44,35-49,15,Some college,Service,6 to 10,No,31,$25 - $49,14.8,Somewhat satisfied,Unmarried,Rent,American Express,No
51,Male,30,25-34,12,High school degree,Sales and Office,Less than 2,No,18,Under $25,14.5,Somewhat dissatisfied,Married,Rent,Visa,No
52,Male,44,35-49,8,Did not complete high school,Sales and Office,6 to 10,No,41,$25 - $49,3.1,Neutral,Unmarried,Rent,Visa,No
53,Female,21,18-24,12,High school degree,Service,Less than 2,No,22,Under $25,2.7,Highly dissatisfied,Married,Own,Other,Yes
54,Female,62,50-64,9,Did not complete high school,"Precision Production, Craft, Repair",More than 15,Yes,14,Under $25,15,Highly dissatisfied,Married,Own,Visa,No
55,Male,65,65+,17,College degree,Sales and Office,6 to 10,No,91,$75 - $124,0.3,Neutral,Unmarried,Own,American Express,No
56,Male,38,35-49,16,Some college,"Operation, Fabrication, General Labor",6 to 10,No,74,$50 - $74,4.7,Somewhat dissatisfied,Married,Own,American Express,No
57,Female,34,25-34,15,Some college,Sales and Office,2 to 5,No,46,$25 - $49,2.1,Somewhat satisfied,Unmarried,Own,American Express,No
58,Male,78,65+,20,Post-undergraduate degree,Managerial and Professional,11 to 15,Yes,14,Under $25,8.2,Neutral,Married,Own,Discover,Yes
59,Female,47,35-49,10,Did not complete high school,Service,More than 15,No,68,$50 - $74,22,Highly satisfied,Unmarried,Own,Visa,Yes
60,Female,60,50-64,19,College degree,"Operation, Fabrication, General Labor",More than 15,No,101,$75 - $124,7.2,Somewhat satisfied,Married,Rent,American Express,No
61,Female,61,50-64,17,College degree,Managerial and Professional,6 to 10,No,121,$75 - $124,9.1,Neutral,Married,Own,Visa,No
62,Female,77,65+,11,Did not complete high school,Service,More than 15,Yes,19,Under $25,15.3,Somewhat dissatisfied,Unmarried,Rent,Mastercard,No
63,Female,21,18-24,16,Some college,"Precision Production, Craft, Repair",Less than 2,No,30,$25 - $49,13.5,Highly dissatisfied,Married,Own,Discover,Yes
64,Female,31,25-34,19,College degree,Managerial and Professional,Less than 2,No,43,$25 - $49,2.1,Highly satisfied,Unmarried,Rent,Discover,Yes
65,Female,27,25-34,20,Post-undergraduate degree,Sales and Office,Less than 2,No,42,$25 - $49,16.4,Highly dissatisfied,Married,Rent,Discover,No
66,Male,64,50-64,10,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,327,$125+,11.7,Highly satisfied,Married,Rent,American Express,No
67,Male,72,65+,18,College degree,Managerial and Professional,6 to 10,No,30,$25 - $49,6.9,Somewhat satisfied,Married,Own,Visa,No
68,Male,66,65+,16,Some college,Managerial and Professional,More than 15,Yes,96,$75 - $124,15.6,Highly satisfied,Married,Own,Visa,No
69,Male,55,50-64,16,Some college,"Precision Production, Craft, Repair",More than 15,No,143,$125+,10.9,Neutral,Unmarried,Own,American Express,No
70,Female,20,18-24,15,Some college,Sales and Office,Less than 2,No,25,$25 - $49,6.8,Somewhat dissatisfied,Unmarried,Rent,Discover,Yes
71,Male,59,50-64,18,College degree,Sales and Office,6 to 10,No,68,$50 - $74,6.5,Somewhat satisfied,Unmarried,Rent,Discover,No
72,Female,48,35-49,19,College degree,Service,6 to 10,No,70,$50 - $74,8.6,Highly dissatisfied,Married,Own,Visa,No
73,Male,60,50-64,13,High school degree,"Operation, Fabrication, General Labor",More than 15,No,101,$75 - $124,3.6,Somewhat satisfied,Unmarried,Own,American Express,No
74,Female,42,35-49,19,College degree,Sales and Office,2 to 5,No,36,$25 - $49,7.6,Somewhat dissatisfied,Married,Rent,Discover,No
75,Female,35,35-49,19,College degree,Sales and Office,2 to 5,No,65,$50 - $74,8.2,Highly dissatisfied,Married,Own,Visa,No
76,Male,24,18-24,10,Did not complete high school,Sales and Office,Less than 2,No,20,Under $25,4.6,Highly dissatisfied,Unmarried,Rent,Visa,No
77,Female,25,25-34,19,College degree,"Operation, Fabrication, General Labor",Less than 2,No,40,$25 - $49,8.6,Highly dissatisfied,Married,Rent,American Express,Yes
78,Male,79,65+,16,Some college,"Operation, Fabrication, General Labor",More than 15,Yes,58,$50 - $74,16.8,Neutral,Unmarried,Own,Visa,No
79,Female,20,18-24,15,Some college,Sales and Office,Less than 2,No,27,$25 - $49,3.7,Neutral,Married,Own,Other,Yes
80,Female,27,25-34,17,College degree,"Operation, Fabrication, General Labor",2 to 5,No,48,$25 - $49,4.2,Highly dissatisfied,Married,Own,Visa,No
81,Male,53,50-64,12,High school degree,Managerial and Professional,11 to 15,No,99,$75 - $124,17.3,Somewhat dissatisfied,Unmarried,Rent,American Express,No
82,Male,57,50-64,14,High school degree,Managerial and Professional,11 to 15,No,108,$75 - $124,5.9,Neutral,Unmarried,Own,Visa,No
83,Female,51,50-64,15,Some college,Service,More than 15,No,174,$125+,15.7,Somewhat satisfied,Married,Own,Discover,Yes
84,Male,69,65+,13,High school degree,Sales and Office,6 to 10,Yes,12,Under $25,1.1,Neutral,Married,Own,American Express,Yes
85,Male,19,18-24,14,High school degree,Service,Less than 2,No,15,Under $25,9.7,Highly dissatisfied,Married,Own,Mastercard,Yes
86,Female,71,65+,8,Did not complete high school,Service,More than 15,No,60,$50 - $74,9.3,Somewhat satisfied,Unmarried,Own,Visa,No
87,Female,39,35-49,17,College degree,Managerial and Professional,2 to 5,No,42,$25 - $49,28.6,Somewhat dissatisfied,Married,Own,Discover,Yes
88,Female,20,18-24,14,High school degree,Managerial and Professional,Less than 2,No,25,$25 - $49,1.9,Highly dissatisfied,Unmarried,Own,Mastercard,No
89,Male,35,35-49,12,High school degree,"Operation, Fabrication, General Labor",11 to 15,No,33,$25 - $49,10.4,Highly satisfied,Married,Rent,American Express,No
